               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.03344,            0.018862,                   0,             0.99302,              0.9322,             0.98865,              0.6355,             0.02408,            0.006037,                   0,           0.0085744,           0.0085744,           0.0085744
                  38,            0.032361,            0.019225,                   0,              0.9867,             0.98305,             0.99483,             0.64215,            0.025903,           0.0061333,                   0,           0.0085348,           0.0085348,           0.0085348
                  39,            0.031658,            0.018936,                   0,             0.84956,             0.86145,             0.93513,             0.53657,            0.032265,           0.0064051,                   0,           0.0084952,           0.0084952,           0.0084952
                  40,            0.033163,            0.017763,                   0,             0.96845,              0.9322,             0.98434,             0.69902,            0.022455,           0.0055253,                   0,           0.0084556,           0.0084556,           0.0084556
                  41,            0.030286,            0.017668,                   0,             0.97801,                   1,             0.99333,              0.6807,             0.02383,           0.0053992,                   0,            0.008416,            0.008416,            0.008416
                  42,            0.030787,            0.016926,                   0,             0.98067,              0.9661,             0.99269,             0.64315,            0.025326,           0.0050816,                   0,           0.0083764,           0.0083764,           0.0083764
                  43,             0.03024,            0.016239,                   0,             0.96848,             0.98305,             0.97589,             0.70772,            0.028235,           0.0055185,                   0,           0.0083368,           0.0083368,           0.0083368
                  44,            0.031388,            0.015988,                   0,              0.9826,             0.95748,             0.99146,             0.62008,            0.029016,           0.0053431,                   0,           0.0082972,           0.0082972,           0.0082972
                  45,            0.030315,            0.015333,                   0,               0.944,             0.91525,             0.96419,             0.61574,            0.028975,           0.0052887,                   0,           0.0082576,           0.0082576,           0.0082576
                  46,            0.029677,            0.015613,                   0,             0.96666,             0.98279,               0.987,             0.64823,            0.026553,           0.0045991,                   0,            0.008218,            0.008218,            0.008218
                  47,            0.029924,            0.016069,                   0,             0.99317,                   1,               0.995,             0.69079,            0.025733,           0.0047222,                   0,           0.0081784,           0.0081784,           0.0081784
                  48,            0.027562,            0.015016,                   0,                   1,             0.99569,               0.995,             0.75042,            0.021419,             0.00474,                   0,           0.0081388,           0.0081388,           0.0081388
                  49,             0.02892,            0.015311,                   0,             0.94986,             0.96331,             0.98934,              0.7364,            0.022541,            0.004654,                   0,           0.0080992,           0.0080992,           0.0080992
                  50,             0.02717,            0.014559,                   0,             0.96976,                   1,              0.9945,             0.71191,            0.021382,           0.0046311,                   0,           0.0080596,           0.0080596,           0.0080596
                  51,            0.028098,            0.014785,                   0,             0.98131,                   1,              0.9945,             0.72042,            0.022552,           0.0042564,                   0,             0.00802,             0.00802,             0.00802
                  52,            0.027441,            0.014598,                   0,             0.94905,             0.94713,             0.98068,             0.69686,            0.021779,           0.0047021,                   0,           0.0079804,           0.0079804,           0.0079804
                  53,            0.028159,            0.015476,                   0,                   1,             0.97667,             0.99467,             0.69214,            0.023002,           0.0045171,                   0,           0.0079408,           0.0079408,           0.0079408
                  54,              0.0267,            0.013677,                   0,             0.99625,             0.94915,             0.99134,             0.78717,            0.019102,           0.0041573,                   0,           0.0079012,           0.0079012,           0.0079012
                  55,            0.025456,            0.014112,                   0,             0.99313,             0.91525,             0.99003,             0.76515,            0.019473,           0.0047544,                   0,           0.0078616,           0.0078616,           0.0078616
                  56,            0.025233,            0.014068,                   0,             0.99503,                   1,               0.995,             0.71975,            0.022253,            0.004161,                   0,            0.007822,            0.007822,            0.007822
                  57,            0.025705,             0.01335,                   0,             0.99164,             0.98305,             0.99467,             0.74573,            0.018309,           0.0041158,                   0,           0.0077824,           0.0077824,           0.0077824
                  58,            0.024579,            0.013712,                   0,                   1,             0.97957,             0.99368,             0.72575,            0.021081,           0.0039977,                   0,           0.0077428,           0.0077428,           0.0077428
                  59,            0.026375,            0.013958,                   0,             0.97212,             0.98305,             0.99433,             0.79496,            0.019725,           0.0040235,                   0,           0.0077032,           0.0077032,           0.0077032
                  60,            0.024878,            0.013675,                   0,             0.98291,             0.97462,             0.98938,             0.75883,            0.020497,           0.0038095,                   0,           0.0076636,           0.0076636,           0.0076636
                  61,            0.025234,            0.013128,                   0,             0.97479,             0.98305,             0.99399,             0.76727,            0.019045,           0.0039375,                   0,            0.007624,            0.007624,            0.007624
                  62,            0.025477,             0.01235,                   0,             0.99724,             0.98305,             0.99483,              0.7812,             0.01972,           0.0038359,                   0,           0.0075844,           0.0075844,           0.0075844
                  63,            0.026786,            0.013046,                   0,                   1,             0.99612,               0.995,             0.78525,            0.018844,           0.0044007,                   0,           0.0075448,           0.0075448,           0.0075448
                  64,            0.022797,            0.013001,                   0,             0.99605,                   1,               0.995,              0.8042,            0.016698,           0.0035128,                   0,           0.0075052,           0.0075052,           0.0075052
                  65,            0.024771,             0.01278,                   0,             0.98253,                   1,              0.9945,             0.79393,            0.020387,           0.0034788,                   0,           0.0074656,           0.0074656,           0.0074656
                  66,             0.02145,            0.012834,                   0,                   1,              0.9992,               0.995,             0.80204,             0.01764,           0.0035865,                   0,            0.007426,            0.007426,            0.007426
                  67,            0.023465,            0.012712,                   0,             0.99703,                   1,               0.995,             0.80095,            0.019042,           0.0035238,                   0,           0.0073864,           0.0073864,           0.0073864
                  68,            0.023949,              0.0128,                   0,             0.99689,             0.98305,             0.99467,             0.82208,            0.017463,           0.0035597,                   0,           0.0073468,           0.0073468,           0.0073468
                  69,            0.023921,            0.012345,                   0,             0.99682,                   1,               0.995,             0.78153,            0.019395,           0.0034636,                   0,           0.0073072,           0.0073072,           0.0073072
                  70,            0.023776,            0.012611,                   0,             0.99945,                   1,               0.995,             0.80952,            0.017851,           0.0034232,                   0,           0.0072676,           0.0072676,           0.0072676
                  71,            0.023761,            0.012249,                   0,             0.93616,             0.99431,             0.99205,             0.82931,            0.015163,           0.0038756,                   0,            0.007228,            0.007228,            0.007228
                  72,            0.022247,            0.011483,                   0,                   1,             0.98194,             0.99483,             0.79574,             0.01803,           0.0035237,                   0,           0.0071884,           0.0071884,           0.0071884
                  73,            0.023246,            0.012389,                   0,             0.99886,                   1,               0.995,             0.82804,            0.015536,           0.0035861,                   0,           0.0071488,           0.0071488,           0.0071488
                  74,            0.022057,            0.012093,                   0,             0.99706,                   1,               0.995,               0.794,             0.01684,           0.0035119,                   0,           0.0071092,           0.0071092,           0.0071092
                  75,            0.023363,            0.012037,                   0,             0.99273,                   1,               0.995,             0.81293,            0.016374,           0.0031636,                   0,           0.0070696,           0.0070696,           0.0070696
                  76,            0.022988,            0.011774,                   0,                   1,              0.9987,               0.995,             0.83325,             0.01614,           0.0032649,                   0,             0.00703,             0.00703,             0.00703
                  77,            0.021766,            0.011202,                   0,             0.99727,                   1,               0.995,              0.7765,            0.018188,           0.0033096,                   0,           0.0069904,           0.0069904,           0.0069904
                  78,            0.022566,            0.011408,                   0,             0.98198,                   1,              0.9945,             0.81333,            0.017766,            0.003394,                   0,           0.0069508,           0.0069508,           0.0069508
                  79,            0.020918,             0.01162,                   0,             0.98148,                   1,             0.99483,             0.83713,            0.017305,           0.0034062,                   0,           0.0069112,           0.0069112,           0.0069112
                  80,             0.02178,            0.010874,                   0,             0.99517,                   1,               0.995,             0.80983,            0.018887,           0.0031529,                   0,           0.0068716,           0.0068716,           0.0068716
                  81,            0.021669,            0.011531,                   0,                   1,             0.97911,             0.99483,             0.82974,            0.016146,           0.0031023,                   0,            0.006832,            0.006832,            0.006832
                  82,            0.021328,             0.01129,                   0,              0.9931,                   1,               0.995,             0.83194,            0.016148,           0.0030506,                   0,           0.0067924,           0.0067924,           0.0067924
                  83,             0.02248,            0.011714,                   0,                   1,             0.99431,               0.995,             0.81237,            0.016581,           0.0030532,                   0,           0.0067528,           0.0067528,           0.0067528
                  84,            0.021466,            0.011119,                   0,                   1,              0.9963,               0.995,             0.84311,            0.017177,           0.0031308,                   0,           0.0067132,           0.0067132,           0.0067132
                  85,             0.02002,            0.011128,                   0,             0.99574,                   1,               0.995,             0.79152,             0.01693,           0.0030719,                   0,           0.0066736,           0.0066736,           0.0066736
                  86,            0.019687,            0.010885,                   0,             0.98114,                   1,             0.99483,              0.8168,            0.016727,           0.0031523,                   0,            0.006634,            0.006634,            0.006634
                  87,            0.021908,            0.010779,                   0,             0.98202,                   1,             0.99483,              0.8624,            0.016133,           0.0031238,                   0,           0.0065944,           0.0065944,           0.0065944
                  88,            0.019555,            0.010796,                   0,             0.99467,                   1,               0.995,             0.85064,            0.015785,           0.0031407,                   0,           0.0065548,           0.0065548,           0.0065548
                  89,            0.020217,            0.010697,                   0,             0.99782,                   1,               0.995,             0.83666,            0.015701,           0.0027836,                   0,           0.0065152,           0.0065152,           0.0065152
                  90,             0.02074,            0.010559,                   0,             0.99455,                   1,               0.995,              0.8365,             0.01532,           0.0028136,                   0,           0.0064756,           0.0064756,           0.0064756
                  91,            0.020295,            0.010867,                   0,             0.98332,             0.99892,             0.99483,             0.82049,            0.015957,           0.0028947,                   0,            0.006436,            0.006436,            0.006436
